vehicle,brand,model,category,sales,year,month,source
Nissan Leaf,Nissan,Leaf,bev,653,2013,2,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,1,2013,2,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1500,2013,2,hybridcars.com
Toyota Prius,Toyota,Prius,phev,693,2013,2,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,52,2013,2,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1478,2013,3,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,494,2013,3,hybridcars.com
Ford Focus,Ford,Focus,bev,180,2013,3,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,295,2013,3,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,26,2013,3,hybridcars.com
Honda Fit,Honda,Fit,bev,23,2013,3,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,31,2013,3,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,2236,2013,3,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1950,2013,3,hybridcars.com
Toyota Prius,Toyota,Prius,phev,786,2013,3,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,133,2013,3,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1306,2013,4,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,411,2013,4,hybridcars.com
Ford Focus,Ford,Focus,bev,147,2013,4,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,364,2013,4,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,55,2013,4,hybridcars.com
Honda Fit,Honda,Fit,bev,22,2013,4,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,127,2013,4,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1937,2013,4,hybridcars.com
Tesla Model S,Tesla,Model S,bev,2100,2013,4,hybridcars.com
Toyota Prius,Toyota,Prius,phev,599,2013,4,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,70,2013,4,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1607,2013,5,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,450,2013,5,hybridcars.com
Ford Focus,Ford,Focus,bev,157,2013,5,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,416,2013,5,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,58,2013,5,hybridcars.com
Honda Fit,Honda,Fit,bev,15,2013,5,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,91,2013,5,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,2138,2013,5,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,60,2013,5,hybridcars.com
Tesla Model S,Tesla,Model S,bev,2000,2013,5,hybridcars.com
Toyota Prius,Toyota,Prius,phev,678,2013,5,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,84,2013,5,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,27,2013,6,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,2698,2013,6,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,455,2013,6,hybridcars.com
Ford Focus,Ford,Focus,bev,177,2013,6,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,390,2013,6,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,42,2013,6,hybridcars.com
Honda Fit,Honda,Fit,bev,208,2013,6,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,39,2013,6,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,2225,2013,6,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,53,2013,6,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1800,2013,6,hybridcars.com
Toyota Prius,Toyota,Prius,phev,584,2013,6,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,44,2013,6,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,103,2013,7,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1788,2013,7,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,433,2013,7,hybridcars.com
Ford Focus,Ford,Focus,bev,150,2013,7,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,407,2013,7,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,54,2013,7,hybridcars.com
Honda Fit,Honda,Fit,bev,63,2013,7,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,46,2013,7,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1864,2013,7,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,58,2013,7,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1550,2013,7,hybridcars.com
Toyota Prius,Toyota,Prius,phev,817,2013,7,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,109,2013,7,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,102,2013,8,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,3351,2013,8,hybridcars.com
Fiat 500e,Fiat,500e,bev,50,2013,8,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,621,2013,8,hybridcars.com
Ford Focus,Ford,Focus,bev,175,2013,8,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,600,2013,8,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,44,2013,8,hybridcars.com
Honda Fit,Honda,Fit,bev,66,2013,8,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,30,2013,8,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,2420,2013,8,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,182,2013,8,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1700,2013,8,hybridcars.com
Toyota Prius,Toyota,Prius,phev,1791,2013,8,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,231,2013,8,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,78,2013,9,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1766,2013,9,hybridcars.com
Fiat 500e,Fiat,500e,bev,50,2013,9,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,758,2013,9,hybridcars.com
Ford Focus,Ford,Focus,bev,110,2013,9,hybridcars.com
