year,month,cpi,date
1961,12,0.11918382913806255,1961-12-01
1962,1,0.11918382913806255,1962-01-01
1962,2,0.11958110856852276,1962-02-01
1962,3,0.11958110856852276,1962-03-01
1962,4,0.11997838799898297,1962-04-01
1962,5,0.11997838799898297,1962-05-01
1962,6,0.11997838799898297,1962-06-01
1962,7,0.12037566742944318,1962-07-01
1962,8,0.12037566742944318,1962-08-01
1962,9,0.12077294685990338,1962-09-01
1962,10,0.12077294685990338,1962-10-01
1962,11,0.12077294685990338,1962-11-01
1962,12,0.12077294685990338,1962-12-01
1963,1,0.12077294685990338,1963-01-01
1963,2,0.12077294685990338,1963-02-01
1963,3,0.1211702262903636,1963-03-01
1963,4,0.1211702262903636,1963-04-01
1963,5,0.1211702262903636,1963-05-01
1963,6,0.12156750572082381,1963-06-01
1963,7,0.121964785151284,1963-07-01
1963,8,0.121964785151284,1963-08-01
1963,9,0.121964785151284,1963-09-01
1963,10,0.12236206458174423,1963-10-01
1963,11,0.12236206458174423,1963-11-01
1963,12,0.12275934401220442,1963-12-01
1964,1,0.12275934401220442,1964-01-01
1964,2,0.12275934401220442,1964-02-01
1964,3,0.12275934401220442,1964-03-01
1964,4,0.12275934401220442,1964-04-01
1964,5,0.12275934401220442,1964-05-01
1964,6,0.12315662344266463,1964-06-01
1964,7,0.12355390287312486,1964-07-01
1964,8,0.12315662344266463,1964-08-01
1964,9,0.12355390287312486,1964-09-01
1964,10,0.12355390287312486,1964-10-01
1964,11,0.12395118230358505,1964-11-01
1964,12,0.12395118230358505,1964-12-01
1965,1,0.12395118230358505,1965-01-01
1965,2,0.12395118230358505,1965-02-01
1965,3,0.12434846173404526,1965-03-01
1965,4,0.12474574116450547,1965-04-01
1965,5,0.12474574116450547,1965-05-01
1965,6,0.1255403000254259,1965-06-01
1965,7,0.1255403000254259,1965-07-01
1965,8,0.1255403000254259,1965-08-01
1965,9,0.1255403000254259,1965-09-01
1965,10,0.1259375794558861,1965-10-01
1965,11,0.1259375794558861,1965-11-01
1965,12,0.1263348588863463,1965-12-01
1966,1,0.1263348588863463,1966-01-01
1966,2,0.12712941774726672,1966-02-01
1966,3,0.12752669717772694,1966-03-01
1966,4,0.12832125603864733,1966-04-01
1966,5,0.12832125603864733,1966-05-01
1966,6,0.12871853546910755,1966-06-01
1966,7,0.12911581489956778,1966-07-01
1966,8,0.1299103737604882,1966-08-01
1966,9,0.1299103737604882,1966-09-01
1966,10,0.1307049326214086,1966-10-01
1966,11,0.1307049326214086,1966-11-01
1966,12,0.1307049326214086,1966-12-01
1967,1,0.1307049326214086,1967-01-01
1967,2,0.1307049326214086,1967-02-01
1967,3,0.1311022120518688,1967-03-01
1967,4,0.13149949148232903,1967-04-01
1967,5,0.13189677091278923,1967-05-01
1967,6,0.13229405034324943,1967-06-01
1967,7,0.13269132977370965,1967-07-01
1967,8,0.13308860920416984,1967-08-01
1967,9,0.13348588863463007,1967-09-01
1967,10,0.1338831680650903,1967-10-01
1967,11,0.13428044749555046,1967-11-01
1967,12,0.13467772692601068,1967-12-01
1968,1,0.1354722857869311,1968-01-01
1968,2,0.13586956521739132,1968-02-01
1968,3,0.13626684464785152,1968-03-01
1968,4,0.13666412407831172,1968-04-01
1968,5,0.13706140350877194,1968-05-01
1968,6,0.13785596236969236,1968-06-01
1968,7,0.13865052123061278,1968-07-01
1968,8,0.13904780066107297,1968-08-01
1968,9,0.1394450800915332,1968-09-01
1968,10,0.1402396389524536,1968-10-01
1968,11,0.1406369183829138,1968-11-01
1968,12,0.141034197813374,1968-12-01
1969,1,0.14143147724383423,1969-01-01
1969,2,0.14222603610475462,1969-02-01
1969,3,0.14341787439613526,1969-03-01
1969,4,0.14421243325705568,1969-04-01
1969,5,0.14460971268751588,1969-05-01
1969,6,0.14540427154843633,1969-06-01
1969,7,0.14619883040935672,1969-07-01
1969,8,0.14699338927027714,1969-08-01
1969,9,0.14739066870073736,1969-09-01
1969,10,0.14818522756165775,1969-10-01
1969,11,0.1489797864225782,1969-11-01
1969,12,0.14977434528349862,1969-12-01
1970,1,0.1501716247139588,1970-01-01
